run,generator,bits,duration_ms,storage_bytes,zeros,ones,ones_ratio
0,ChaCha20 DRBG,10000,0.005958,1250,5031,4969,0.496900
0,AES-256-CTR DRBG,10000,0.042833,1250,4952,5048,0.504800
0,BLAKE3 XOF DRBG,10000,0.025000,1250,4940,5060,0.506000
0,ChaCha20 DRBG,100000,0.046750,12500,50106,49894,0.498940
0,AES-256-CTR DRBG,100000,0.157917,12500,49943,50057,0.500570
0,BLAKE3 XOF DRBG,100000,0.030708,12500,49854,50146,0.501460
0,ChaCha20 DRBG,1000000,0.501458,125000,500404,499596,0.499596
0,AES-256-CTR DRBG,1000000,1.555583,125000,501002,498998,0.498998
0,BLAKE3 XOF DRBG,1000000,0.303541,125000,499823,500177,0.500177
0,ChaCha20 DRBG,10000000,4.929375,1250000,4998467,5001533,0.500153
0,AES-256-CTR DRBG,10000000,13.245167,1250000,5002845,4997155,0.499715
0,BLAKE3 XOF DRBG,10000000,2.230917,1250000,4999455,5000545,0.500054
1,ChaCha20 DRBG,10000,0.011667,1250,4976,5024,0.502400
1,AES-256-CTR DRBG,10000,0.014416,1250,4993,5007,0.500700
1,BLAKE3 XOF DRBG,10000,0.002416,1250,4990,5010,0.501000
1,ChaCha20 DRBG,100000,0.034625,12500,50038,49962,0.499620
1,AES-256-CTR DRBG,100000,0.116834,12500,49685,50315,0.503150
1,BLAKE3 XOF DRBG,100000,0.022959,12500,50095,49905,0.499050
1,ChaCha20 DRBG,1000000,0.357500,125000,500241,499759,0.499759
1,AES-256-CTR DRBG,1000000,1.149291,125000,500009,499991,0.499991
1,BLAKE3 XOF DRBG,1000000,0.205584,125000,499518,500482,0.500482
1,ChaCha20 DRBG,10000000,3.068291,1250000,5000141,4999859,0.499986
1,AES-256-CTR DRBG,10000000,10.352000,1250000,4996599,5003401,0.500340
1,BLAKE3 XOF DRBG,10000000,1.952583,1250000,5000625,4999375,0.499937
2,ChaCha20 DRBG,10000,0.004584,1250,4974,5026,0.502600
2,AES-256-CTR DRBG,10000,0.010834,1250,5012,4988,0.498800
2,BLAKE3 XOF DRBG,10000,0.001959,1250,5054,4946,0.494600
2,ChaCha20 DRBG,100000,0.026375,12500,50126,49874,0.498740
2,AES-256-CTR DRBG,100000,0.089834,12500,50029,49971,0.499710
2,BLAKE3 XOF DRBG,100000,0.017375,12500,49924,50076,0.500760
2,ChaCha20 DRBG,1000000,0.261709,125000,499773,500227,0.500227
2,AES-256-CTR DRBG,1000000,0.886917,125000,500398,499602,0.499602
2,BLAKE3 XOF DRBG,1000000,0.172042,125000,499715,500285,0.500285
2,ChaCha20 DRBG,10000000,2.618791,1250000,4998014,5001986,0.500199
2,AES-256-CTR DRBG,10000000,8.728416,1250000,5001501,4998499,0.499850
2,BLAKE3 XOF DRBG,10000000,1.614750,1250000,4999118,5000882,0.500088
3,ChaCha20 DRBG,10000,0.002709,1250,5022,4978,0.497800
3,AES-256-CTR DRBG,10000,0.010000,1250,4953,5047,0.504700
3,BLAKE3 XOF DRBG,10000,0.001708,1250,5095,4905,0.490500
3,ChaCha20 DRBG,100000,0.024792,12500,50022,49978,0.499780
3,AES-256-CTR DRBG,100000,0.084000,12500,50217,49783,0.497830
3,BLAKE3 XOF DRBG,100000,0.016292,12500,50105,49895,0.498950
3,ChaCha20 DRBG,1000000,0.244958,125000,499976,500024,0.500024
3,AES-256-CTR DRBG,1000000,0.882708,125000,500248,499752,0.499752
3,BLAKE3 XOF DRBG,1000000,0.169791,125000,500100,499900,0.499900
3,ChaCha20 DRBG,10000000,2.327583,1250000,5001957,4998043,0.499804
3,AES-256-CTR DRBG,10000000,8.035542,1250000,4998463,5001537,0.500154
3,BLAKE3 XOF DRBG,10000000,1.519333,1250000,5001641,4998359,0.499836
4,ChaCha20 DRBG,10000,0.002459,1250,4997,5003,0.500300
4,AES-256-CTR DRBG,10000,0.009042,1250,5108,4892,0.489200
4,BLAKE3 XOF DRBG,10000,0.001625,1250,5069,4931,0.493100
4,ChaCha20 DRBG,100000,0.022417,12500,49930,50070,0.500700
4,AES-256-CTR DRBG,100000,0.076750,12500,50276,49724,0.497240
4,BLAKE3 XOF DRBG,100000,0.014917,12500,49796,50204,0.502040
4,ChaCha20 DRBG,1000000,0.223417,125000,499863,500137,0.500137
4,AES-256-CTR DRBG,1000000,0.752500,125000,499986,500014,0.500014
4,BLAKE3 XOF DRBG,1000000,0.147041,125000,498894,501106,0.501106
4,ChaCha20 DRBG,10000000,2.240666,1250000,5000124,4999876,0.499988
4,AES-256-CTR DRBG,10000000,7.088791,1250000,5002483,4997517,0.499752
4,BLAKE3 XOF DRBG,10000000,1.510500,1250000,4998500,5001500,0.500150
5,ChaCha20 DRBG,10000,0.007500,1250,4953,5047,0.504700
5,AES-256-CTR DRBG,10000,0.008875,1250,4999,5001,0.500100
5,BLAKE3 XOF DRBG,10000,0.001500,1250,5022,4978,0.497800
5,ChaCha20 DRBG,100000,0.021542,12500,50119,49881,0.498810
5,AES-256-CTR DRBG,100000,0.073375,12500,50238,49762,0.497620
5,BLAKE3 XOF DRBG,100000,0.014125,12500,50001,49999,0.499990
5,ChaCha20 DRBG,1000000,0.223208,125000,500788,499212,0.499212
5,AES-256-CTR DRBG,1000000,0.720958,125000,500019,499981,0.499981
5,BLAKE3 XOF DRBG,1000000,0.142000,125000,500452,499548,0.499548
5,ChaCha20 DRBG,10000000,2.099208,1250000,5000691,4999309,0.499931
5,AES-256-CTR DRBG,10000000,7.791750,1250000,5002025,4997975,0.499798
5,BLAKE3 XOF DRBG,10000000,1.337959,1250000,4999262,5000738,0.500074
6,ChaCha20 DRBG,10000,0.002625,1250,4987,5013,0.501300
6,AES-256-CTR DRBG,10000,0.008125,1250,4958,5042,0.504200
6,BLAKE3 XOF DRBG,10000,0.001417,1250,4969,5031,0.503100
6,ChaCha20 DRBG,100000,0.020083,12500,49814,50186,0.501860
6,AES-256-CTR DRBG,100000,0.068250,12500,49493,50507,0.505070
6,BLAKE3 XOF DRBG,100000,0.013209,12500,49745,50255,0.502550
6,ChaCha20 DRBG,1000000,0.198583,125000,500428,499572,0.499572
6,AES-256-CTR DRBG,1000000,0.678208,125000,500190,499810,0.499810
6,BLAKE3 XOF DRBG,1000000,0.134916,125000,500398,499602,0.499602
6,ChaCha20 DRBG,10000000,2.070083,1250000,4999290,5000710,0.500071
6,AES-256-CTR DRBG,10000000,6.731042,1250000,4997846,5002154,0.500215
6,BLAKE3 XOF DRBG,10000000,1.318000,1250000,5002583,4997417,0.499742
7,ChaCha20 DRBG,10000,0.002250,1250,5008,4992,0.499200
