generator,bits,runs,mean_time_ms,std_time_ms,mean_ones_ratio,std_ones_ratio,storage_bytes
AES-256-CTR DRBG,10000,50,0.008879,0.005014,0.499372,0.005244,1250
AES-256-CTR DRBG,100000,50,0.071102,0.015446,0.499986,0.001862,12500
AES-256-CTR DRBG,1000000,50,0.705241,0.150011,0.499909,0.000468,125000
AES-256-CTR DRBG,10000000,50,6.987188,1.111995,0.500000,0.000168,1250000
BLAKE3 XOF DRBG,10000,50,0.001885,0.003341,0.500734,0.005227,1250
BLAKE3 XOF DRBG,100000,50,0.013577,0.002994,0.500150,0.001653,12500
BLAKE3 XOF DRBG,1000000,50,0.137640,0.028668,0.500016,0.000543,125000
BLAKE3 XOF DRBG,10000000,50,1.330649,0.174257,0.500036,0.000128,1250000
ChaCha20 DRBG,10000,50,0.003266,0.002433,0.499578,0.004609,1250
ChaCha20 DRBG,100000,50,0.020688,0.004540,0.499987,0.001540,12500
ChaCha20 DRBG,1000000,50,0.210288,0.050185,0.499984,0.000417,125000
ChaCha20 DRBG,10000000,50,2.069741,0.456337,0.499986,0.000159,1250000
